title,authors,editor
Efficient Modality Selection in Multimodal Learning,"[{'name': 'Yifei He', 'affiliation': ['University of Illinois Urbana-Champaign']}, {'name': 'Runxiang Cheng', 'affiliation': ['University of Illinois Urbana-Champaign']}, {'name': 'Gargi Balasubramaniam', 'affiliation': ['University of Illinois Urbana-Champaign']}, {'name': 'Yao-Hung Hubert Tsai', 'affiliation': ['Carnegie Mellon University']}, {'name': 'Han Zhao', 'affiliation': ['University of Illinois Urbana-Champaign']}]", Francis Bach
Entropic Gromov-Wasserstein Distances  Stability and Algorithms,"[{'name': 'Gabriel Rioux', 'affiliation': ['Center for Applied Mathematics', 'Cornell University', 'Ithaca, NY 14853, USA']}, {'name': 'Ziv Goldfeld', 'affiliation': ['School of Electrical and Computer Engineering', 'Cornell University', 'Ithaca, NY 14853, USA']}, {'name': 'Kengo Kato', 'affiliation': ['Department of Statistics and Data Science', 'Cornell University', 'Ithaca, NY 14853, USA']}]", Quentin Berthet
Estimating the Minimizer and the Minimum Value of a Regression Function under Passive Design,"[{'name': 'Arya Akhavan', 'affiliation': ['Istituto Italiano di Tecnologia', 'CREST, ENSAE, IP Paris']}, {'name': 'Davit Gogolashvili', 'affiliation': ['Data Science Department, EURECOM, France']}, {'name': 'Alexandre B. Tsybakov', 'affiliation': ['CREST, ENSAE, IP Paris']}]", Aarti Singh
Estimating the Replication Probability of Significant Classification Benchmark Experiments,"[{'name': 'Daniel Berrar', 'affiliation': ['Machine Learning Research Group', 'School of Mathematics and Statistics', 'The Open University', 'Milton Keynes MK7 6AA, United Kingdom', 'and', 'Department of Information and Communications Engineering', 'School of Engineering', 'Tokyo Institute of Technology', '2-12-1-S3-70 Ookayama, Meguro-ku, Tokyo 152-8550, Japan']}]", Fei Sha
Estimation of Sparse Gaussian Graphical Models with Hidden Clustering Structure,"[{'name': 'Meixia Lin', 'affiliation': ['Engineering Systems and Design', 'Singapore University of Technology and Design', '8 Somapah Road, Singapore, 487372']}, {'name': 'Defeng Sun', 'affiliation': ['Department of Applied Mathematics', 'The Hong Kong Polytechnic University', 'Hung Hom, Kowloon, Hong Kong']}, {'name': 'Kim-Chuan Toh', 'affiliation': ['Department of Mathematics and Institute of Operations Research and Analytics', 'National University of Singapore', '10 Lower Kent Ridge Road, Singapore, 119076']}, {'name': 'Chengjing Wang', 'affiliation': ['School of Mathematics', 'Southwest Jiaotong University', 'Chengdu 611756, China']}]", David Wipf
Estimation of the Order of Non-Parametric Hidden Markov Models using the Singular Values of an Integral Operator,"[{'name': 'Marie Du Roy de Chaumaray', 'affiliation': ['Mathematical Research Institute of Rennes IRMAR', 'Rennes University, Rennes, France']}, {'name': 'Salima El Kolei', 'affiliation': ['Univ. Rennes, Ensai, CNRS, CREST', 'UMR 9194, F-35000 Rennes, France']}, {'name': 'Marie-Pierre Etienne', 'affiliation': ['Mathematical Research Institute of Rennes IRMAR', 'Rennes University, Rennes, France']}, {'name': 'Matthieu Marbac', 'affiliation': ['Univ. Rennes, Ensai, CNRS, CREST', 'UMR 9194, F-35000 Rennes, France']}]", Po-Ling Loh
Euler Characteristic Tools for Topological Data Analysis,"[{'name': 'Olympio Hacquard', 'affiliation': ['Laboratoire de Math´ematiques d’Orsay', 'Universit´e Paris-Saclay, CNRS, Inria', '91400 Orsay France']}, {'name': 'Vadim Lebovici', 'affiliation': ['Mathematical Institute', 'University of Oxford,', 'Oxford, United Kingdom']}]", Sayan Mukherjee
Evidence Estimation in Gaussian Graphical Models Using a Telescoping Block Decomposition of the Precision Matrix,"[{'name': 'Anindya Bhadra', 'affiliation': ['Department of Statistics', 'Purdue University', 'West Lafayette, IN 47907, USA']}, {'name': 'Ksheera Sagar', 'affiliation': ['Department of Statistics', 'Purdue University', 'West Lafayette, IN 47907, USA']}, {'name': 'David Rowe', 'affiliation': ['Department of Statistics', 'Purdue University', 'West Lafayette, IN 47907, USA']}, {'name': 'Sayantan Banerjee', 'affiliation': ['Operations Management & Quantitative Techniques Area', 'Indian Institute of Management Indore', 'Indore, MP 453556, India']}, {'name': 'Jyotishka Datta', 'affiliation': ['Department of Statistics', 'Virginia Polytechnic Institute and State University', 'Blacksburg, VA 24060, USA']}]", Mingyuan Zhou
Existence and Minimax Theorems for Adversarial Surrogate Risks in Binary Classification,"[{'name': 'Natalie S. Frank', 'affiliation': ['Courant Institute', 'New York University', 'New York, NY 10012, USA']}, {'name': 'Jonathan Niles-Weed', 'affiliation': ['Courant Institute and Center for Data Science', 'New York University', 'New York, NY 10012, USA']}]", Gabor Lugosi
Exploration  Exploitation  and Engagement in Multi-Armed Bandits with Abandonment,"[{'name': 'Zixian Yang', 'affiliation': ['Electrical Engineering and Computer Science', 'University of Michigan', 'Ann Arbor, MI 48109, USA']}, {'name': 'Xin Liu', 'affiliation': ['School of Information Science and Technology', 'ShanghaiTech University', 'Shanghai, China']}, {'name': 'Lei Ying', 'affiliation': ['Electrical Engineering and Computer Science', 'University of Michigan', 'Ann Arbor, MI 48109, USA']}]", Tor Lattimore
Exploration of the Search Space of Gaussian Graphical Models for Paired Data,"[{'name': 'Alberto Roverato', 'affiliation': ['Department of Statistical Sciences', 'University of Padova, Italy.']}, {'name': 'Dung Ngoc Nguyen', 'affiliation': ['Department of Statistical Sciences', 'University of Padova, Italy.', 'CSIRO Agriculture and Food', 'Canberra, ACT, Australia.']}]", Jin Tian
Fairness guarantees in multi-class classification with demographic parity,"[{'name': 'Christophe Denis', 'affiliation': ['LPSM, UMR-CNRS 8001,', 'Sorbonne Universit´e', '4, Place Jussieu, 75005 Paris, France']}, {'name': 'Romuald Elie', 'affiliation': ['LAMA, UMR-CNRS 8050,', 'Universit´e Gustave Eiﬀel', '5 Bd Descartes, 77454 Marne-la-Vall´ee cedex 2, France']}, {'name': 'Mohamed Hebiri', 'affiliation': ['LAMA, UMR-CNRS 8050,', 'Universit´e Gustave Eiﬀel', '5 Bd Descartes, 77454 Marne-la-Vall´ee cedex 2, France']}, {'name': 'Fran¸cois Hu', 'affiliation': ['R&D Department, AI Lab,', 'Milliman France', '14 Av. de la Grande Arm´ee, 75017 Paris, France']}]", David Blei
Fairness in Survival Analysis with Distributionally Robust Optimization,"[{'name': 'Shu Hu', 'affiliation': ['Department of Computer and Information Technology', 'Purdue University', 'Indianapolis, IN, 46202, USA']}, {'name': 'George H. Chen', 'affiliation': ['Heinz College of Information Systems and Public Policy', 'Carnegie Mellon University', 'Pittsburgh, PA, 15213, USA']}]", David Sontag
False discovery proportion envelopes with m-consistency,"[{'name': 'Iqraa Meah', 'affiliation': ['Center for Research in Epidemiology and StatisticS (CRESS)', 'Universit´e Paris Cit´e and Universit´e Sorbonne Paris Nord, Inserm, INRAE', 'F-75004 Paris, France']}, {'name': 'Gilles Blanchard', 'affiliation': ['Institut Math´ematiques de Orsay (IMO)', 'CNRS, Inria, Universit´e Paris-Saclay', 'F-91405 Orsay Cedex']}, {'name': 'Etienne Roquain', 'affiliation': ['Laboratoire de Probabilit´es, Statistique et Mod´elisation,', 'CNRS, Sorbonne Universit´e, Universit´e de Paris.', 'Sorbonne Universit´e', '4 place Jussieu, 75005, Paris']}]", Gabor Lugosi
Fast Policy Extragradient Methods for Competitive Games with Entropy Regularization,"[{'name': 'Shicong Cen', 'affiliation': ['Department of Electrical and Computer Engineering', 'Carnegie Mellon University']}, {'name': 'Yuting Wei', 'affiliation': ['Department of Statistics and Data Science, The Wharton School', 'University of Pennsylvania']}, {'name': 'Yuejie Chi', 'affiliation': ['Department of Electrical and Computer Engineering', 'Carnegie Mellon University']}]", Csaba Szepesvari
Fast Rates in Pool-Based Batch Active Learning,"[{'name': 'Claudio Gentile', 'affiliation': ['Google Research', 'New York City, NY, USA']}, {'name': 'Zhilei Wang', 'affiliation': ['WorldQuant LLC', 'New York City, NY, USA']}, {'name': 'Tong Zhang', 'affiliation': ['University of Illinois Urbana-Champaign, IL']}]", Sivan Sabato
Faster Randomized Methods for Orthogonality Constrained Problems,"[{'name': 'Boris Shustin', 'affiliation': ['Department of Applied Mathematics', 'Tel Aviv University', 'Tel Aviv, 69978, Israel']}, {'name': 'Haim Avron', 'affiliation': ['Department of Applied Mathematics', 'Tel Aviv University', 'Tel Aviv, 69978, Israel']}]", Michael Mahoney
Faster Rates of Differentially Private Stochastic Convex Optimization,"[{'name': 'Jinyan Su', 'affiliation': ['Cornell University']}, {'name': 'Lijie Hu', 'affiliation': ['Provable Responsible AI and Data Analytics Lab', 'Division of CEMSE', 'King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}, {'name': 'Di Wang', 'affiliation': ['Provable Responsible AI and Data Analytics Lab', 'Division of CEMSE', 'King Abdullah University of Science and Technology', 'Thuwal, Saudi Arabia']}]", Moritz Hardt
Fat-Shattering Dimension of k-fold Aggregations,"[{'name': 'Idan Attias', 'affiliation': ['Department of Computer Science', 'Ben-Gurion University of the Negev, Beer Sheva, Israel']}, {'name': 'Aryeh Kontorovich', 'affiliation': ['Department of Computer Science', 'Ben-Gurion University of the Negev, Beer Sheva, Israel']}]", John Shawe-Taylor
FedCBO  Reaching Group Consensus in Clustered Federated Learning through Consensus-based Optimization,"[{'name': 'Jos´e A. Carrillo', 'affiliation': ['Mathematical Institute', 'University of Oxford', 'Oxford OX2 6GG, UK']}, {'name': 'Nicol´as Garc´ıa Trillos', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', '1300 University Avenue, Madison, Wisconsin 53706, USA']}, {'name': 'Sixu Li', 'affiliation': ['Department of Statistics', 'University of Wisconsin-Madison', '1300 University Avenue, Madison, Wisconsin 53706, USA']}, {'name': 'Yuhua Zhu', 'affiliation': ['Department of Statistics and Data Science,', 'University of California, Los Angeles', 'Los Angeles, California 90095-1554, USA']}]", Qiang Liu
Federated Automatic Differentiation,"[{'name': 'Keith Rush', 'affiliation': ['Google Research', 'Seattle, WA, USA']}, {'name': 'Zachary Charles', 'affiliation': ['Google Research', 'Seattle, WA, USA']}, {'name': 'Zachary Garrett', 'affiliation': ['Google Research', 'Seattle, WA, USA']}]", Dan Alistarh
Fermat Distances  Metric Approximation  Spectral Convergence  and Clustering Algorithms,"[{'name': 'Nicol´as Garc´ıa Trillos', 'affiliation': ['Department of Statistics', 'University of Wisconsin', 'Madison, WI 53706, USA']}, {'name': 'Anna Little', 'affiliation': ['Department of Mathematics, Utah Center for Data Science', 'University of Utah', 'Salt Lake City, UT 84112, USA']}, {'name': 'Daniel McKenzie', 'affiliation': ['Department of Applied Mathematics and Statistics', 'Colorado School of Mines', 'Golden, CO 80401, USA']}, {'name': 'James M. Murphy', 'affiliation': ['Department of Mathematics', 'Tufts University', 'Medford, MA 02155, USA']}]", Sayan Mukherjee
FineMorphs  Affine-Diffeomorphic Sequences for Regression,"[{'name': 'Michele Lohr', 'affiliation': ['Department of Applied Mathematics and Statistics', 'Center for Imaging Science', 'The Johns Hopkins University', 'Baltimore, MD 21218-2683, USA']}, {'name': 'Laurent Younes', 'affiliation': ['Department of Applied Mathematics and Statistics', 'Center for Imaging Science', 'The Johns Hopkins University', 'Baltimore, MD 21218-2683, USA']}]", Jean-Philippe Vert
Finite-time Analysis of Globally Nonstationary Multi-Armed Bandits,"[{'name': 'Junpei Komiyama', 'affiliation': ['Stern School of Business, New York University, USA']}, {'name': 'Edouard Fouch´e', 'affiliation': ['Institute for Program Structures and Data Organization, Karlsruhe Institute of Technology, Ger-', 'many']}, {'name': 'Junya Honda', 'affiliation': ['Department of Systems Science, Graduate School of Informatics, Kyoto University, Japan', 'Center for Advanced Intelligence Project, RIKEN, Japan']}]", Aurelien Garivier
Fisher information dissipation for time-inhomogeneous stochastic differential equations,"[{'name': 'Qi Feng', 'affiliation': ['Department of Mathematics', 'Florida State University', 'Tallahassee, FL 32306, USA']}, {'name': 'Xinzhe Zuo', 'affiliation': ['Department of Mathematics', 'University of California, Los Angeles', 'Los Angeles, CA 90095, USA']}, {'name': 'Wuchen Li', 'affiliation': ['Department of Mathematics', 'University of South Carolina', 'Columbia, SC 29208, USA']}]", Qiang Liu
Fixed points of nonnegative neural networks,"[{'name': 'Tomasz J. Piotrowski', 'affiliation': ['Nicolaus Copernicus University,', 'Grudziądzka 5/7, 87-100 Toruń, Poland']}, {'name': 'Renato L. G. Cavalcante', 'affiliation': ['Einsteinufer 37, 10587 Berlin, Germany']}, {'name': 'Mateusz Gabor', 'affiliation': ['Faculty of Electronics, Photonics, and Microsystems,', 'Wrocław University of Science and Technology,', 'Wybrzeze Wyspianskiego 27, 50-370 Wrocław, Poland']}]", Aryeh Kontorovich
Flexible Bayesian Product Mixture Models for Vector Autoregressions,"[{'name': 'Suprateek Kundu', 'affiliation': ['Department of Biostatistics, The University of Texas MD Anderson Cancer Center', 'University of Texas', 'Houston, TX 77030, USA']}, {'name': 'Joshua Lukemire', 'affiliation': ['Department of Biostatistics and Bioinformatics', 'Emory University', 'Atlanta, GA 30322, USA']}]", Qiang Liu
From Small Scales to Large Scales  Distance-to-Measure Density based Geometric Analysis of Complex Data,"[{'name': 'Katharina Proksch', 'affiliation': ['Faculty of Electrical Engineering, Mathematics & Computer Science', 'University of Twente', 'Hallenweg 19, 7522NH Enschede, Netherlands']}, {'name': 'Christoph A. Weitkamp', 'affiliation': ['Institute for Mathematical Stochastics', 'University of G¨ottingen', 'Goldschmidtstraße 7, 37077 G¨ottingen, Germany']}, {'name': 'Thomas Staudt', 'affiliation': ['Institute for Mathematical Stochastics', 'University of G¨ottingen', 'Goldschmidtstraße 7, 37077 G¨ottingen, Germany']}, {'name': 'Benoˆıt Lelandais', 'affiliation': ['Institut Pasteur', 'Imaging and Modeling Unit', 'UMR 3691, CNRS, Paris, France']}, {'name': 'Christophe Zimmer', 'affiliation': ['Institut Pasteur', 'Imaging and Modeling Unit', 'UMR 3691, CNRS, Paris, France']}]", Florence d’Alche-Buc
From continuous-time formulations to discretization schemes  tensor trains and robust regression for BSDEs and parabolic PDEs,"[{'name': 'Lorenz Richter', 'affiliation': ['Zuse Institute Berlin, Germany', 'dida Datenschmiede GmbH, Germany']}, {'name': 'Leon Sallandt', 'affiliation': ['Technische Universit¨at Berlin, Germany']}, {'name': 'Nikolas N¨usken', 'affiliation': ['King’s College London, UK']}]", Kilian Weinberger
Fréchet Random Forests for Metric Space Valued Regression with Non Euclidean Predictors,"[{'name': 'Louis Capitaine', 'affiliation': ['epoch intelligence & Univ. Bordeaux, INSERM, INRIA, BPH, U1219, F-33000 Bordeaux, France']}, {'name': 'J´er´emie Bigot', 'affiliation': ['Univ. Bordeaux, CNRS, Bordeaux INP, IMB, UMR 5251, F-33400 Talence, France']}, {'name': 'Rodolphe Thi´ebaut', 'affiliation': ['Univ. Bordeaux, INSERM, INRIA, BPH, U1219, F-33000 Bordeaux, France']}, {'name': 'Robin Genuer', 'affiliation': ['Univ. Bordeaux, INSERM, INRIA, BPH, U1219, F-33000 Bordeaux, France']}]", Luc de Raedt
Functional Directed Acyclic Graphs,"[{'name': 'Kuang-Yao Lee', 'affiliation': ['Department of Statistics, Operations, and Data Science', 'Temple University', 'Philadelphia, PA 19122, USA']}, {'name': 'Lexin Li', 'affiliation': ['Department of Biostatistics and Epidemiology', 'University of California at Berkeley', 'Berkeley, CA 94720, USA']}, {'name': 'Bing Li', 'affiliation': ['Department of Statistics', 'Pennsylvannia State University', 'University Park, PA 16802, USA']}]", Peter Spirtes
Functional optimal transport  regularized map estimation and domain adaptation for functional data,"[{'name': 'Jiacheng Zhu', 'affiliation': ['Department of Mechanical Engineering, Carnegie Mellon University', 'Pittsburgh, PA 15213, USA']}, {'name': 'Aritra Guha', 'affiliation': ['Data Science & AI Research, AT&T Chief Data Oﬃce', 'Bedminster, NJ 07921, USA']}, {'name': 'Dat Do', 'affiliation': ['Department of Statistics, University of Michigan', 'Ann Arbor, MI 48105, USA']}, {'name': 'Mengdi Xu', 'affiliation': ['Department of Mechanical Engineering, Carnegie Mellon University', 'Pittsburgh, PA 15213, USA']}, {'name': 'XuanLong Nguyen', 'affiliation': ['Department of Statistics, University of Michigan', 'Ann Arbor, MI 48105, USA']}, {'name': 'Ding Zhao', 'affiliation': ['Department of Mechanical Engineering, Carnegie Mellon University', 'Pittsburgh, PA 15213, USA']}]", Tommi Jaakkola
Functions with average smoothness  structure  algorithms  and learning,"[{'name': 'Yair Ashlagi', 'affiliation': ['Computer Science Department', 'Ben-Gurion University', 'Beer Sheva, Israel']}, {'name': 'Lee-Ad Gottlieb', 'affiliation': ['Computer Science Department', 'Ariel University', 'Shomron, Israel']}, {'name': 'Aryeh Kontorovich', 'affiliation': ['Computer Science Department', 'Ben-Gurion University', 'Beer Sheva, Israel']}]", Po-Ling Loh
GGD  Grafting Gradient Descent,"[{'name': 'Yanjing Feng', 'affiliation': ['NITFID, School of Statistics and Data science', 'Nankai University', 'Tianjin 300071, China']}, {'name': 'Yongdao Zhou', 'affiliation': ['NITFID, School of Statistics and Data science', 'Nankai University', 'Tianjin 300071, China']}]", Moritz Hardt
Gaussian Interpolation Flows,"[{'name': 'Yuan Gao', 'affiliation': ['Department of Applied Mathematics', 'The Hong Kong Polytechnic University', 'Hong Kong SAR, China']}, {'name': 'Jian Huang', 'affiliation': ['Departments of Data Science and AI, and Applied Mathematics', 'The Hong Kong Polytechnic University', 'Hong Kong SAR, China']}, {'name': 'Yuling Jiao', 'affiliation': ['School of Mathematics and Statistics', 'and Hubei Key Laboratory of Computational Science', 'Wuhan University, Wuhan, China']}]", Mingyuan Zhou
Gaussian Mixture Models with Rare Events,"[{'name': 'Xuetong Li', 'affiliation': ['Guanghua School of Management', 'Peking University', 'Beijing, China']}, {'name': 'Jing Zhou', 'affiliation': ['Center for Applied Statistics, School of Statistics', 'Renmin University of China', 'Beijing, China']}, {'name': 'Hansheng Wang', 'affiliation': ['Guanghua School of Management', 'Peking University', 'Beijing, China']}]", Ji Zhu
Generalization and Stability of Interpolating Neural Networks with Minimal Width,"[{'name': 'Hossein Taheri', 'affiliation': ['Department of Electrical and Computer Engineering', 'University of California', 'Santa Barbara, CA, USA']}, {'name': 'Christos Thrampoulidis', 'affiliation': ['Department of Electrical and Computer Engineering', 'University of British Columbia', 'Vancouver, Canada']}]", Pradeep Ravikumar
Generalization on the Unseen  Logic Reasoning and Degree Curriculum,"[{'name': 'Emmanuel Abbe', 'affiliation': ['EPFL, Apple,', 'Lausanne, VD, Switzerland']}, {'name': 'Samy Bengio', 'affiliation': ['Apple,', 'Cupertino, CA, USA']}, {'name': 'Aryo Lotﬁ', 'affiliation': ['EPFL,', 'Lausanne, VD, Switzerland']}, {'name': 'Kevin Rizk', 'affiliation': ['EPFL,', 'Lausanne, VD, Switzerland']}]", Kilian Weinberger
Generalized Independent Noise Condition for Estimating Causal Structure with Latent Variables,"[{'name': 'Feng Xie', 'affiliation': ['Department of Applied Statistics, Beijing Technology and Business University', 'Beijing, 102488, China']}, {'name': 'Biwei Huang', 'affiliation': ['Halicioglu Data Science Institute (HDSI), University of California San Diego', 'La Jolla, San Diego, California, 92093, USA']}, {'name': 'Zhengming Chen', 'affiliation': ['School of Computer Science, Guangdong University of Technology', 'Guangzhou, 510006, China', 'Machine Learning Department, Mohamed bin Zayed University of Artiﬁcial Intelligence', 'Abu Dhabi, UAE']}, {'name': 'Ruichu Cai', 'affiliation': ['School of Computer Science, Guangdong University of Technology', 'Guangzhou, 510006, China']}, {'name': 'Clark Glymour', 'affiliation': ['Department of Philosophy, Carnegie Mellon University', 'Pittsburgh, PA 15213, USA']}, {'name': 'Zhi Geng', 'affiliation': ['Department of Applied Statistics, Beijing Technology and Business University', 'Beijing, 102488, China']}, {'name': 'Kun Zhang', 'affiliation': ['Department of Philosophy, Carnegie Mellon University', 'Pittsburgh, PA 15213, USA', 'Machine Learning Department, Mohamed bin Zayed University of Artiﬁcial Intelligence', 'Abu Dhabi, UAE']}]", Ilya Shpitser
Generative Adversarial Ranking Nets,"[{'name': 'Yinghua Yao', 'affiliation': ['Center for Frontier AI Research, A*STAR, Singapore', 'and', 'Institute of High Performance Computing, A*STAR, Singapore']}, {'name': 'Yuangang Pan', 'affiliation': ['Center for Frontier AI Research, A*STAR, Singapore', 'and', 'Institute of High Performance Computing, A*STAR, Singapore']}, {'name': 'Jing Li', 'affiliation': ['Center for Frontier AI Research, A*STAR, Singapore', 'and', 'Institute of High Performance Computing, A*STAR, Singapore']}, {'name': 'Ivor W. Tsang', 'affiliation': ['Center for Frontier AI Research, A*STAR, Singapore', 'and', 'Institute of High Performance Computing, A*STAR, Singapore']}, {'name': 'Xin Yao', 'affiliation': ['Department of Computing and Decision Sciences, Lingnan University, Hong Kong']}]", Matthew Hoﬀman
Geometric Learning with Positively Decomposable Kernels,"[{'name': 'Natha¨el Da Costa', 'affiliation': ['Division of Mathematical Sciences', 'School of Physical and Mathematical Sciences', 'Nanyang Technological University', '21 Nanyang Link, 637371, Singapore']}, {'name': 'Cyrus Mostajeran', 'affiliation': ['Division of Mathematical Sciences', 'School of Physical and Mathematical Sciences', 'Nanyang Technological University', '21 Nanyang Link, 637371, Singapore']}, {'name': 'Juan-Pablo Ortega', 'affiliation': ['Division of Mathematical Sciences', 'School of Physical and Mathematical Sciences', 'Nanyang Technological University', '21 Nanyang Link, 637371, Singapore']}, {'name': 'Salem Said', 'affiliation': ['Laboratoire Jean Kuntzman', 'Universit´e Grenoble-Alpes', 'Grenoble, 38400, France']}]", Jean-Philippe Vert
Gradual Domain Adaptation  Theory and Algorithms,"[{'name': 'Yifei He', 'affiliation': ['University of Illinois Urbana-Champaign']}, {'name': 'Haoxiang Wang', 'affiliation': ['University of Illinois Urbana-Champaign']}, {'name': 'Bo Li', 'affiliation': ['University of Chicago']}, {'name': 'Han Zhao', 'affiliation': ['University of Illinois Urbana-Champaign']}]", Quentin Berthet
Granger Causal Inference in Multivariate Hawkes Processes  by Minimum Message Length,"[{'name': 'Kateˇrina Hlav´aˇckov´a-Schindler', 'affiliation': ['Faculty of Computer Science, University of Vienna', 'Vienna, Austria, and Institute of Computer Science', 'Czech Academy of Sciences, Prague, Czechia']}, {'name': 'Anna Melnykova', 'affiliation': ['Laboratory of Mathematics', 'University of Avignon, Avignon, France']}, {'name': 'Irene Tubikanec', 'affiliation': ['Department of Statistics', 'University of Klagenfurt, Klagenfurt, Austria']}]", Jin Tian
Graphical Dirichlet Process for Clustering Non-Exchangeable Grouped Data,"[{'name': 'Arhit Chakrabarti', 'affiliation': ['Department of Statistics', 'Texas A&M University', 'College Station, TX 77843-3143, USA']}, {'name': 'Yang Ni', 'affiliation': ['Department of Statistics', 'CPRIT Single Cell Data Science Core', 'Texas A&M University', 'College Station, TX 77843-3143, USA']}, {'name': 'Ellen Ruth A. Morris', 'affiliation': ['Department of Nutrition', 'Program in Integrative Nutrition & Complex Diseases', 'Current address: Texas A&M Veterinary Medical Diagnostic Laboratory', 'Texas A&M University', 'College Station, TX 77843-4471, USA']}, {'name': 'Michael L. Salinas', 'affiliation': ['Department of Nutrition', 'Program in Integrative Nutrition & Complex Diseases', 'CPRIT Single Cell Data Science Core', 'Texas A&M University', 'College Station, TX 77843-2253, USA']}, {'name': 'Robert S. Chapkin', 'affiliation': ['Department of Nutrition', 'Program in Integrative Nutrition & Complex Diseases', 'CPRIT Single Cell Data Science Core', 'Texas A&M University', 'College Station, TX 77843-2253, USA']}, {'name': 'Bani K. Mallick', 'affiliation': ['Department of Statistics', 'Texas A&M University', 'College Station, TX 77843-3143, USA']}]", Mingyuan Zhou
Guaranteed Nonconvex Factorization Approach for Tensor Train Recovery,"[{'name': 'Zhen Qin', 'affiliation': ['Department of Computer Science and Engineering', 'Ohio State University', 'Columbus, Ohio 43201, USA']}, {'name': 'Michael B. Wakin', 'affiliation': ['Department of Electrical Engineering', 'Colorado School of Mines', 'Golden, Colorado 80401, USA']}, {'name': 'Zhihui Zhu', 'affiliation': ['Department of Computer Science and Engineering', 'Ohio State University', 'Columbus, Ohio 43201, USA']}]", Shiqian Ma
Hamiltonian Monte Carlo for efficient Gaussian sampling  long and random steps,"[{'name': 'Simon Apers', 'affiliation': ['IRIF', 'Universit´e Paris Cit´e, CNRS', 'Paris, F-75013, France']}, {'name': 'Sander Gribling', 'affiliation': ['Department of Econometrics and Operations Research', 'Tilburg University', 'Tilburg, 5000 LE, the Netherlands']}, {'name': 'D´aniel Szil´agyi', 'affiliation': ['IRIF', 'Universit´e Paris Cit´e', 'Paris, F-75013, France']}]", Anthony Lee
Heterogeneity-aware Clustered Distributed Learning for Multi-source Data Analysis,"[{'name': 'Yuanxing Chen', 'affiliation': ['Department of Statistics and Data Science, School of Economics', 'Xiamen University', 'Xiamen, 361005, China']}, {'name': 'Qingzhao Zhang', 'affiliation': ['Department of Statistics and Data Science, School of Economics', 'The Wang Yanan Institute for Studies in Economics', 'Xiamen University', 'Xiamen, 361005, China']}, {'name': 'Shuangge Ma', 'affiliation': ['Department of Biostatistics', 'Yale University', 'New Haven, CT 06520, USA']}, {'name': 'Kuangnan Fang', 'affiliation': ['Department of Statistics and Data Science, School of Economics', 'Xiamen University', 'Xiamen, 361005, China']}]", Dan Alistarh
High Probability Convergence Bounds for Non-convex Stochastic Gradient Descent with Sub-Weibull Noise,"[{'name': 'Liam Madden', 'affiliation': ['Department of Electrical and Computer Engineering', 'University of British Columbia']}, {'name': 'Emiliano Dall’Anese', 'affiliation': ['Department of Electrical and Computer Engineering', 'Boston University']}, {'name': 'Stephen Becker', 'affiliation': ['Department of Applied Mathematics', 'University of Colorado Boulder']}]", Simon Lacoste-Julien
High Probability and Risk-Averse Guarantees for a Stochastic Accelerated Primal-Dual Method,"[{'name': 'Yassine Laguel', 'affiliation': ['Laboratoire Jean Alexandre Dieudonné', 'Université Côte d’Azur', 'Nice, France.']}, {'name': 'Necdet Serhat Aybat', 'affiliation': ['Department of Industrial and Manufacturing Engineering', 'Pennsylvania State University', 'University Park, PA, USA']}, {'name': 'Mert Gürbüzbalaban', 'affiliation': ['Department of Management Science and Information Systems', 'Rutgers Business School, Rutgers University.', 'Piscataway, NJ, USA.']}]", Martin Jaggi
Homeomorphic Projection to Ensure Neural-Network Solution Feasibility for Constrained Optimization,"[{'name': 'Enming Liang', 'affiliation': ['Department of Data Science', 'City University of Hong Kong', 'Hong Kong, China']}, {'name': 'Minghua Chen', 'affiliation': ['Department of Data Science', 'City University of Hong Kong', 'Hong Kong, China']}, {'name': 'Steven H. Low', 'affiliation': ['Departments of EE and CMS', 'California Institute of Technology', 'California, USA']}]", Animashree Anandkumar
Identifiability and Asymptotics in Learning Homogeneous Linear ODE Systems from Discrete Observations,"[{'name': 'Yuanyuan Wang', 'affiliation': ['School of Mathematics and Statistics', 'University of Melbourne, Melbourne, Australia']}, {'name': 'Wei Huang', 'affiliation': ['School of Mathematics and Statistics', 'University of Melbourne, Melbourne, Australia']}, {'name': 'Mingming Gong', 'affiliation': ['School of Mathematics and Statistics', 'University of Melbourne, Melbourne, Australia']}, {'name': 'Xi Geng', 'affiliation': ['School of Mathematics and Statistics', 'University of Melbourne, Melbourne, Australia']}, {'name': 'Tongliang Liu', 'affiliation': ['School of Computer Science, Faculty of Engineering', 'The University of Sydney, Sydney, Australia']}, {'name': 'Kun Zhang', 'affiliation': ['Carnegie Mellon University, Pittsburgh, PA, USA', 'Mohamed bin Zayed University of Artiﬁcial Intelligence, Abu Dhabi, UAE']}, {'name': 'Dacheng Tao', 'affiliation': ['School of Computer Science, Faculty of Engineering', 'The University of Sydney, Sydney, Australia']}]", Lorenzo Rosasco
